 ,Area
799,460
800,280
801,268
802,322
803,308
804,278
805,276
806,302
807,369
808,266
809,285
810,274
811,276
812,270
813,306
814,298
815,284
816,305
817,298
818,403
819,359
820,249
821,366
822,345
823,272
824,287
825,313
826,275
827,332
828,364
829,288
830,261
831,281
832,294
833,275
834,164
835,51
836,305
837,302
838,331
839,302
840,255
841,333
842,161
843,325
844,308
845,306
846,401
847,328
848,368
849,262
850,320
851,315
852,271
853,301
854,327
855,332
856,319
857,279
858,167
859,361
860,386
861,279
862,308
863,223
864,27
865,433
866,345
867,190
868,268
869,354
870,279
871,182
872,427
873,305
874,230
875,272
876,285
877,289
878,294
879,279
880,303
881,266
882,222
883,280
884,399
885,310
886,300
887,283
888,266
889,301
890,297
891,346
892,303
893,407
894,292
895,293
896,296
897,424
898,302
899,393
900,271
901,314
902,450
903,407
904,288
905,456
906,281
907,257
908,255
909,350
910,336
911,310
912,246
913,327
914,215
915,471
916,295
917,379
918,328
919,220
920,255
921,306
922,368
923,425
924,482
925,135
926,306
927,368
928,423
929,288
930,322
931,424
932,241
933,237
934,119
935,283
936,300
937,319
938,247
939,274
940,345
941,184
942,496
943,290
944,278
945,212
946,416
947,299
948,296
949,207
950,264
951,280
952,179
953,325
954,269
955,299
956,500
957,368
958,134
959,462
960,381
961,272
962,230
963,425
964,456
965,358
966,408
967,152
968,495
969,362
970,294
971,254
972,238
973,381
974,490
975,251
976,193
977,248
978,276
979,265
980,488
981,48
982,326
983,412
984,361
985,252
986,305
987,320
988,274
989,278
990,355
991,323
992,312
993,371
994,355
995,453
996,414
997,350
998,265
999,273
1000,305
1001,276
1002,349
1003,317
1004,272
1005,255
1006,266
1007,300
1008,280
1009,280
1010,303
1011,273
1012,294
1013,277
1014,282
1015,257
1016,252
1017,286
1018,269
1019,361
1020,263
1021,270
1022,440
1023,407
1024,54
1025,315
1026,379
1027,264
1028,442
1029,404
1030,293
1031,363
1032,230
1033,283
1034,304
1035,483
1036,370
1037,315
1038,291
1039,278
1040,271
1041,357
1042,283
1043,289
1044,307
1045,271
1046,348
1047,408
1048,285
1049,262
1050,368
1051,300
1052,275
1053,280
1054,255
1055,214
1056,252
1057,305
1058,387
1059,307
1060,295
1061,412
1062,246
1063,285
1064,21
1065,273
1066,235
1067,296
1068,297
1069,363
1070,298
1071,314
1072,219
1073,281
1074,266
1075,352
1076,303
1077,289
1078,280
1079,265
1080,498
1081,252
1082,247
1083,299
1084,419
1085,226
1086,416
1087,258
1088,275
1089,363
1090,174
1091,440
1092,274
1093,298
1094,480
1095,478
1096,302
1097,285
1098,498
1099,277
1100,240
1101,289
1102,266
1103,217
1104,299
1105,486
1106,440
1107,346
1108,382
1109,386
1110,305
1111,280
1112,271
1113,300
1114,445
1115,272
1116,263
1117,261
1118,481
1119,417
1120,280
1121,252
1122,267
1123,306
1124,257
1125,252
1126,301
1127,158
1128,320
1129,424
1130,308
1131,286
1132,387
1133,336
1134,487
1135,135
1136,271
1137,299
1138,413
1139,319
1140,315
1141,196
1142,253
1143,266
1144,249
1145,497
1146,24
1147,316
1148,244
1149,186
1150,354
1151,273
1152,81
1153,399
1154,412
1155,388
1156,298
1157,419
1158,172
1159,422
1160,266
1161,290
1162,278
1163,58
1164,325
1165,134
1166,383
1167,270
1168,449
1169,283
1170,402
1171,422
1172,227
1173,404
1174,446
1175,289
1176,363
1177,317
1178,121
1179,442
1180,311
1181,272
1182,299
1183,466
1184,182
1185,287
1186,258
1187,301
1188,75
1189,290
